no,word-talgalog,word meaning-english,scentence-tagalog,scentence-korean
322,kuwento,story / tale,Ang kuwento niya ay kawili-wili.,그녀의 이야기는 흥미롭다.
323,kabila,despite / in spite of,Kabila ng ulan,nagpatuloy kami.
324,daan,road / way / path,Mahaba ang daan papunta sa bayan.,마을로 가는 길은 길다.
325,bagaman,although / even though,Bagaman pagod,nagpatuloy siya.
326,anim,six,Anim na estudyante ang pumasa.,여섯 명의 학생이 합격했다.
327,National,National (English loanword),Ang National Museum ay bukas ngayon.,국립박물관은 오늘 개관한다.
328,John,John (English name),Si John ay kaibigan ko.,존은 나의 친구다.
329,tinawag,called / was called,Tinawag siya ng kanyang ina.,그는 어머니께 부르셨다.
330,pangalawang,second / secondary,Siya ang pangalawang presidente.,그는 두 번째 대통령이다.
331,pagkakataon,opportunity / chance,Bigyan mo siya ng isa pang pagkakataon.,그에게 또 다른 기회를 주세요.
332,lalo,more / especially,Lalo siyang ginanahan sa trabaho.,그는 일에 더욱 열중하게 되었다.
333,kulay,color,Ang kulay ng langit ay asul.,하늘의 색깔은 파랗다.
334,kasalukuyan,present / current,Sa kasalukuyan,wala siyang trabaho.
335,karakter,character / personality,Mabait ang karakter ng bida.,주인공의 성격은 착하다.
336,kamatayan,death,Ang kamatayan ay hindi maiiwasan.,죽음은 피할 수 없다.
337,kalaunan,later / eventually,Kalaunan,naintindihan niya.
338,gawain,activity / task,Ang gawain namin ay maglinis.,우리의 과제는 청소이다.
339,Maria,Maria (female name),Si Maria ay mag-aaral.,마리아는 학생이다.
340,una,first / first one,Siya ang una sa pila.,그녀는 줄에서 첫 번째다.
341,sinabi,said / was said,Sinabi niya ang totoo.,그는 진실을 말했다.
342,pambansang,national,"Ang pambansang awit ay ""Lupang Hinirang.""","국가는 ""루팡 히니랑""이다."
343,makikita,can be seen / will be seen,Makikita ang bundok sa malayo.,멀리서 산이 보인다.
344,mag-aaral,student,Ang mag-aaral ay nag-aaral ng mabuti.,학생은 열심히 공부하고 있다.
345,itinuturing,regarded / considered,Itinuturing siyang bayani.,그는 영웅으로 간주된다.
346,ganitong,this kind of / like this,Ganitong sitwasyon ay kailangan ng tiyaga.,이러한 상황은 인내가 필요하다.
347,Kastila,Spanish / Spaniard,Ang mga Kastila ay dumating sa 1500s.,스페인인들은 1500년대에 도착했다.
348,tauhan,character / personnel / staff,Maraming tauhan ang kumpanya.,회사에는 많은 직원이 있다.
349,pangkalahatang,general / overall,Ang pangkalahatang ideya ay ito.,전반적인 아이디어는 이것이다.
350,pamagat,title / heading,"Ang pamagat ng libro ay ""Noli Me Tangere.""","책의 제목은 ""Noli Me Tangere""이다."
351,nanalo,won / was victorious,Nanalo ang aming koponan.,우리 팀이 이겼다.
352,marami,many / much,Maraming tao ang dumalo.,많은 사람들이 참석했다.
353,huli,last / late,Huli na siya dumating.,그는 늦게 도착했다.
354,gulang,age / old,Malaki na ang gulang niya.,그는 나이가 많다.
355,Naging,became,Naging guro siya.,그는 교사가 되었다.
356,Europa,Europe,Nagbakasyon kami sa Europa.,우리는 유럽에 휴가를 갔다.
357,pagkakaroon,having / possessing,Ang pagkakaroon ng kaalaman ay mahalaga.,지식을 갖는 것은 중요하다.
358,linggo,week / Sunday,Sa linggo,pumunta kami sa simbahan.
359,labas,outside / exterior,Lumabas siya ng bahay.,그는 집 밖으로 나갔다.
360,ekonomiya,economy,Ang ekonomiya ng bansa ay lumalago.,나라의 경제는 성장하고 있다.
361,Ilog,River (part of name),Ang Ilog Pasig ay mahaba.,파시그 강은 길다.
362,2005,year 2005,Nagtapos ako ng kolehiyo noong 2005.,나는 2005년에 대학을 졸업했다.
363,tunay,true / real,Tunay ang kanyang sinabi.,그가 말한 것은 사실이다.
364,rito,here / in this place,Narito ako para tumulong.,나는 도움을 주기 위해 여기 있다.
365,programa,program / project,Isang programa para sa mga kabataan.,청소년들을 위한 프로그램이다.
366,koponan,team,Ang koponan ay nagwagi.,팀이 승리했다.
367,katao,person / people / individual,Ang bawat katao ay may karapatan.,모든 개인은 권리를 가진다.
368,itinayo,was built / was constructed,Itinayo ang gusali noong 1990.,건물은 1990년에 지어졌다.
369,isinulat,was written,Isinulat niya ang nobela.,그는 소설을 썼다.
370,ilog,river,Malalim ang ilog na ito.,이 강은 깊다.
371,babaeng,female / woman,Ang babaeng iyon ay maganda.,그 여자는 아름답다.
372,Mayroong,there is / has,Mayroong pagkain sa mesa.,식탁에 음식이 있다.
373,2014,year 2014,Nagbakasyon kami noong 2014.,우리는 2014년에 휴가를 갔다.
374,sinaunang,ancient / old,Ang sinaunang templo ay nasa Greece.,고대 사원은 그리스에 있다.
375,nagbigay,gave / provided,Nagbigay siya ng pera sa mahirap.,그는 가난한 사람에게 돈을 주었다.
376,modernong,modern,Ang modernong teknolohiya ay nakakatulong.,현대 기술은 도움이 된다.
377,lumipat,moved / transferred,Lumipat kami ng bahay noong Hunyo.,우리는 6월에 이사를 갔다.
378,larawan,picture / image,Ang larawan ay maganda.,사진이 아름답다.
379,bumubuo,composing / making up,Ang mga ito ay bumubuo ng isang koponan.,이들은 하나의 팀을 구성한다.
380,bato,rock / stone,Malaki ang bato sa daan.,길에 큰 돌이 있다.
381,Hesus,Jesus,Si Hesus ay Tagapagligtas.,예수는 구세주이다.
382,Espanya,Spain,Nag-aral ako sa Espanya.,나는 스페인에서 공부했다.
383,sukat,size / measurement,Ang sukat ng damit ay medium.,옷 사이즈는 미디움이다.
384,pero,but / however,Pero,hindi ko alam.
385,musika,music,Mahilig siya sa musika.,그는 음악을 좋아한다.
386,mahigit,more than / over,Mahigit isang daan ang dumalo.,100명 이상이 참석했다.
387,mabilis,fast / quick,Mabilis ang takbo ng kotse.,차의 속도가 빠르다.
388,lumabas,went out / came out,Lumabas siya ng bahay.,그는 집 밖으로 나갔다.
389,kultura,culture,Ang kultura ng Pilipinas ay mayaman.,필리핀 문화는 풍부하다.
390,karaniwan,usual / common,Karaniwan ang ganitong sitwasyon.,이러한 상황은 흔하다.
391,kababaihan,women,Ang kababaihan ay may mahalagang papel.,여성들은 중요한 역할을 한다.
392,istasyon,station / stop,Nasa istasyon ng tren kami.,우리는 기차역에 있다.
393,Tinatawag,is called / is being called,"Tinatawag siyang ""Batang Genius.""","그는 ""영재 소년""이라고 불린다."
394,Hilagang,North / Northern,Nasa Hilagang bahagi ang Benguet.,벵게트는 북부 지역에 있다.
395,tagumpay,success / victory,Ang tagumpay ay hindi madaling makuha.,성공은 쉽게 얻어지지 않는다.
396,sistemang,system,Ang sistemang ito ay epektibo.,이 시스템은 효과적이다.
397,pampublikong,public,Ang pampublikong paaralan ay bukas.,공립학교는 개방되어 있다.
398,nakilala,was known / became known,Nakilala siya sa pagiging mabait.,그는 친절함으로 알려졌다.
399,magiging,will become,Magiging guro siya balang araw.,그는 언젠가 교사가 될 것이다.
400,larangan,field / area,Ang larangan ng agham ay malawak.,과학 분야는 광범위하다.
401,kilalang,well-known / famous,Kilalang artista si Anne Curtis.,앤 커티스는 유명한 배우입니다.
402,kaugnayan,"connection, relation",Ang kaugnayan ng magkaibigan ay matatag.,두 사람의 우정은 굳건하다.
403,karera,"career, race",Sumali siya sa karera ng mga kotse.,그는 자동차 경주에 참가했다.
404,kahulugan,"meaning, definition",Ano ang kahulugan ng salitang ito?,이 단어의 의미는 무엇인가요?
405,hari,king,Hari ang namumuno sa kaharian.,왕이 왕국을 다스린다.
406,gilid,"edge, side",Nakaupo siya sa gilid ng kama.,그는 침대 옆에 앉아 있다.
407,Unang,first,Unang araw ng eskuwela ngayon.,오늘은 개학 첫날이다.
408,Halimbawa,example,Iyan ay magandang halimbawa.,그것은 좋은 예시이다.
409,pulo,island,Malaki ang pulo ng Luzon.,루손 섬은 크다.
410,pitong,seven,Pitong araw sa isang linggo.,일주일은 일곱 날이다.
411,lumitaw,"to appear, emerge",Bigla siyang lumitaw sa pinto.,그는 갑자기 문 앞에 나타났다.
412,kailangan,"need, necessity",Kailangan ko ng tulong mo.,당신의 도움이 필요해요.
413,kadalasang,"usually, often",Kadalasang umuulan sa Hunyo.,6월에는 종종 비가 온다.
414,indibidwal,individual,Bawat indibidwal ay may karapatan.,각 개인은 권리를 가진다.
415,ibabaw,"surface, top",Nasa ibabaw ng mesa ang libro.,책이 탁자 위에 있다.
416,epekto,effect,Ano ang epekto ng gamot na ito?,이 약의 효과는 무엇인가요?
417,bumalik,to return,Bumalik na siya sa bahay.,그는 집으로 돌아갔다.
418,bersyon,version,Bagong bersyon ng app ang inilabas.,앱의 새 버전이 출시됐다.
419,awit,song,Maganda ang awit ng ibon.,새의 노랫소리가 아름답다.
420,Timog,South,Timog Korea ay isang bansa.,대한민국은 나라이다.
421,School,school,Malapit lang ang school namin.,우리 학교는 가까워요.
422,Romano,Roman,Romano ang estilo ng gusali.,건물은 로마 양식이다.
423,Pangulo,president,Si Bongbong Marcos ang Pangulo.,본본 마르코스가 대통령이다.
424,Matatagpuan,can be found,Matatagpuan ang bundok sa hilaga.,산은 북쪽에 있다.
425,Bagaman,although,"Bagaman pagod, nagpatuloy siya.",피곤했지만 그는 계속했다.
426,titik,letter (alphabet),Labindalawang titik sa alpabeto.,알파벳은 열한 글자다.
427,tanging,"only, sole",Siya ang tanging anak.,그는 외동딸이다.
428,tamang,correct,Tamang sagot iyan.,정답이다.
429,sapagkat,because,"Umulan, sapagkat malakas ang hangin.","비가 왔다, 바람이 세게 불었기 때문이다."
430,pamamaraan,"method, way",Mahusay na pamamaraan ang ginamit.,훌륭한 방법이 사용됐다.
431,nakuha,"obtained, received",Nakuha ko na ang resulta.,나 결과를 받았어요.
432,nagpapakita,"shows, displays",Ang data ay nagpapakita ng pagtaas.,데이터는 증가를 보여준다.
433,gamot,medicine,Ininom niya ang gamot bago kumain.,그는 식사 전에 약을 먹었다.
434,Para,"for, in order to",Para sa iyo ang regalo.,선물은 너를 위한 것이다.
435,proseso,process,Mahaba ang proseso ng aplikasyon.,신청 절차는 길다.
436,pangulo,"head, president",Siya ang pangulo ng kumpanya.,그는 회사의 대표이다.
437,paksa,"topic, subject",Ang paksa ay tungkol sa kalikasan.,주제는 자연에 관한 것이다.
438,naninirahan,"residing, living",Naninirahan sila sa Maynila.,그들은 마닐라에 산다.
439,manunulat,writer,Si Rizal ay dakilang manunulat.,리잘은 위대한 작가다.
440,mababang,low,Mababang grado ang nakuha niya.,그는 낮은 성적을 받았다.
441,kinabibilangan,"included, part of",Kinabibilangan niya ang samahan.,그는 단체에 소속돼 있다.
442,in,in,Nasa loob kami ng bahay.,우리는 집 안에 있다.
443,elemento,element,Apat na elemento ang nasa listahan.,목록에 네 가지 요소가 있다.
444,dumating,arrived,Dumating na ang bisita.,방문객이 도착했다.
445,bagyo,"storm, typhoon",Malakas ang bagyo kagabi.,어젯밤 태풍이 세게 몰아쳤다.
446,Tagalog,Tagalog language,Marunong siyang mag-Tagalog.,그는 타갈로그어를 할 수 있다.
447,Korea,Korea,Maganda ang Korea sa tagsibol.,봄에 한국은 아름답다.
448,At,and,Kumain kami at uminom.,우리는 먹고 마셨다.
449,Aleman,Germany,Bumibisita kami sa Aleman.,우리는 독일을 방문 중이다.
450,walong,eight,Walong taong gulang ako.,저는 여덟 살입니다.
451,tungkulin,"duty, role",Mahalaga ang tungkulin ng guro.,교사의 역할은 중요하다.
452,season,season,Tag-araw ang paboritong season ko.,여름은 내가 가장 좋아하는 계절이다.
453,pumasok,"entered, went to school",Pumasok siya nang maaga.,그는 일찍 등교했다.
454,pook,place,Tahimik na pook para magpahinga.,쉴 수 있는 조용한 곳이다.
455,pinakamataas,highest,Siya ang pinakamataas sa klase.,그는 반에서 가장 키가 크다.
456,panganib,danger,Malaki ang panganib sa labas.,밖에는 위험이 크다.
457,pananaw,"view, perspective",Iba ang pananaw ng bawat tao.,각자의 관점이 다르다.
458,nilikha,created,Nilikha niya ang magandang larawan.,그는 아름다운 사진을 만들었다.
459,mo,you (singular),"Ikaw, ikaw at ikaw—ikaw rin ang tinutukoy ko, ikaw mismo, ikaw na ikaw, ikaw na!","너, 너, 너—내가 말하는 사람은 바로 너야!"
460,madaling,"easy, quick",Madaling sagutan ang tanong.,질문은 쉽게 대답할 수 있다.
461,lupain,"land, territory",Malawak ang lupain ng Pilipinas.,필리핀의 영토는 넓다.
462,lumikha,to create,Gusto kong lumikha ng pelikula.,나는 영화를 만들고 싶다.
463,lipunan,society,Umuunlad ang lipunan ngayon.,사회가 발전하고 있다.
464,labanan,"battle, fight",Matagal ang labanan sa Marawi.,마라위 전투는 오래 지속됐다.
465,binuo,"built, formed",Binuo nila ang samahan.,그들은 단체를 결성했다.
466,bansang,country (adjective form),Isang bansang maunlad ang Japan.,일본은 선진국이다.
467,Walang,"none, no one",Walang tao sa bahay.,집에는 아무도 없다.
468,Sinabi,said,Sinabi niya ang totoo.,그는 진실을 말했다.
469,Kapag,"when, if","Kapag umulan, dala ka ng payong.",비 오면 우산을 가져와.
470,Itinatag,established,Itinatag ang paaralan noong 1920.,학교는 1920년에 설립됐다.
471,City,city,Malaki ang city ng Quezon.,퀘존 시티는 크다.
472,Bukod,"besides, apart from","Bukod sa kanya, wala nang iba.",그 외에는 아무도 없다.
473,Asya,Asia,Kabilang ang Pilipinas sa Asya.,필리핀은 아시아에 속한다.
474,A,"a, one letter",A ang unang letra sa alpabeto.,알파벳 첫 글자는 A다.
475,tumutukoy,refers to,Tumutukoy ito sa bagong batas.,이것은 새 법률을 가리킨다.
476,siyam,nine,Siyam na planeta noon.,예전에는 아홉 개의 행성이 있었다.
477,sining,art,Maganda ang sining sa gallery.,갤러리의 미술품이 아름답다.
478,sapat,enough,Sapat na ang kinain ko.,나는 먹은 것으로 충분하다.
479,resulta,result,Ipinakita ang resulta ng exam.,시험 결과가 공개됐다.
480,pananaliksik,research,Mahalaga ang pananaliksik sa agham.,과학 연구는 중요하다.
481,nabuo,"was formed, created",Nabuo ang bagong ideya.,새로운 아이디어가 생겼다.
482,minsan,"once, sometimes",Minsan ay nakakalimot ako.,가끔 나는 잊어버린다.
483,mang-aawit,singer,Batang mang-aawit ang nanalo.,어린 가수가 우승했다.
484,makita,to see,Gusto kong makita ang dagat.,나는 바다를 보고 싶다.
485,layunin,"goal, objective",Malinaw ang layunin ng proyekto.,프로젝트 목표가 명확하다.
486,halaga,"value, price",Mataas ang halaga ng bahay.,집값이 높다.
487,gawaing,"activity, task",Maraming gawaing-bahay ang ginagampanan.,많은 가사 노동을 하고 있다.
488,World,world,Maganda ang World Cup.,월드컵은 멋지다.
489,Philippine,Philippine,Philippine eagle ay bihira.,필리핀 독수리는 드물다.
490,Nagsimula,started,Nagsimula ang palabas alas-otso.,쇼는 8시에 시작했다.
491,Manila,Manila,Sikat ang Manila sa turista.,마닐라는 관광객에게 유명하다.
492,BCE,before common era,Naging sibilisasyon noong 500 BCE.,기원전 500년에 문명이 있었다.
493,Amerikanong,American,Amerikanong turista ang dumating.,미국인 관광객이 도착했다.
494,timog,south,Nasa timog ng bansa ang Davao.,다바오는 나라 남쪽에 있다.
495,punong,"chief, head",Punong barangay ang dumalo.,마을 이장이 참석했다.
496,publiko,public,Bukas sa publiko ang library.,도서관은 대중에게 열려 있다.
497,partido,political party,Malakas ang partido ni Marcos.,마르코스의 정당이 강하다.
498,paligid,surroundings,Maganda ang paligid ng lawa.,호수 주변은 아름답다.
499,pagsusuri,analysis,Mahirap ang pagsusuri ng data.,데이터 분석은 어렵다.
500,nasabing,aforementioned,Ayon sa nasabing ulat.,앞서 언급한 보고서에 따르면.
501,naitala,recorded,Naitala ang pinakamataas na grado.,최고 성적이 기록됐다. 
